LGA,Year,LitAvg,NumAvg,NaplanAvg,Total Students,Portion Bullied
ALPINE,2008,0.962572,0.992647,0.9776095,283,0.329
ARARAT,2008,0.9362245,0.958064,0.94714425,251,0.303
BALLARAT,2008,0.94973,0.950408,0.950069,2134,0.304
BANYULE,2008,0.9530615,0.9637,0.95838075,2972,0.25
BASS COAST,2008,0.9636065,0.976069,0.96983775,539,0.273
BAW BAW,2008,0.959534,0.970226,0.96488,1191,0.285
BAYSIDE,2008,0.969945,0.977265,0.973605,961,0.262
BENALLA,2008,0.9632545,0.9740245,0.9686395,326,0.353
BOROONDARA,2008,0.987257,0.991938,0.9895975,2509,0.184
BRIMBANK,2008,0.9155555,0.9252125,0.920384,3565,0.224
BULOKE,2008,0.9651465,0.984796,0.97497125,279,0.211
CAMPASPE,2008,0.9272245,0.9490545,0.9381395,1079,0.243
CARDINIA,2008,0.940902,0.9609165,0.95090925,981,0.297
CASEY,2008,0.9363365,0.951025,0.94368075,5488,0.278
CENTRAL GOLDFIELDS,2008,0.933474,0.952656,0.943065,340,0.262
COLAC-OTWAY,2008,0.920964,0.959918,0.940441,476,0.315
CORANGAMITE,2008,0.93543,0.9432745,0.93935225,505,0.257
DAREBIN,2008,0.9043355,0.9239405,0.914138,1576,0.223
EAST GIPPSLAND,2008,0.936114,0.9613365,0.94872525,858,0.322
FRANKSTON,2008,0.9327995,0.9424815,0.9376405,3237,0.287
GANNAWARRA,2008,0.958847,0.9722165,0.96553175,338,0.287
GLEN EIRA,2008,0.9769975,0.987865,0.98243125,1225,0.209
GLENELG,2008,0.920129,0.9537395,0.93693425,604,0.303
GREATER BENDIGO,2008,0.9417775,0.9504345,0.946106,2301,0.278
GREATER DANDENONG,2008,0.897588,0.9151505,0.90636925,2994,0.27
GREATER GEELONG,2008,0.957413,0.962321,0.959867,4813,0.275
GREATER SHEPPARTON,2008,0.915133,0.9270925,0.92111275,1434,0.287
HEPBURN,2008,0.937577,0.962885,0.950231,229,0.393
HINDMARSH,2008,0.9488995,0.9317255,0.9403125,248,0.254
HOBSONS BAY,2008,0.9544365,0.955891,0.95516375,1525,0.262
HORSHAM,2008,0.9173145,0.953062,0.93518825,466,0.328
HUME,2008,0.9135995,0.9268715,0.9202355,3070,0.258
INDIGO,2008,0.9818165,0.9685875,0.975202,327,0.263
KINGSTON,2008,0.966003,0.979315,0.972659,2251,0.202
KNOX,2008,0.9592905,0.97276,0.96602525,2261,0.243
LATROBE,2008,0.928383,0.9372205,0.93280175,1608,0.341
LODDON,2008,0.9461015,0.955769,0.95093525,207,0.242
MACEDON RANGES,2008,0.974894,0.9820265,0.97846025,882,0.243
MANNINGHAM,2008,0.943367,0.9520595,0.94771325,1674,0.205
MANSFIELD,2008,0.9728175,0.966722,0.96976975,216,0.227
MARIBYRNONG,2008,0.916425,0.931157,0.923791,1342,0.222
MAROONDAH,2008,0.9678975,0.9765575,0.9722275,2250,0.249
MELBOURNE,2008,0.9778105,0.988633,0.98322175,433,0.148
MILDURA,2008,0.916419,0.9197475,0.91808325,1593,0.321
MITCHELL,2008,0.9364815,0.933278,0.93487975,873,0.31
MOIRA,2008,0.940762,0.9607635,0.95076275,713,0.273
MONASH,2008,0.970242,0.976207,0.9732245,4236,0.219
MOONEE VALLEY,2008,0.969124,0.9754415,0.97228275,2434,0.224
MOORABOOL,2008,0.9460225,0.9638505,0.9549365,299,0.271
MORELAND,2008,0.926951,0.93153,0.9292405,1584,0.223
MORNINGTON PENINSULA,2008,0.958715,0.97062,0.9646675,2576,0.277
MOUNT ALEXANDER,2008,0.9444225,0.9475745,0.9459985,393,0.257
MOYNE,2008,0.9647475,0.932973,0.94886025,130,0.215
MURRINDINDI,2008,0.9588205,0.977286,0.96805325,323,0.344
NILLUMBIK,2008,0.9634605,0.970471,0.96696575,924,0.187
NORTHERN GRAMPIANS,2008,0.939934,0.967365,0.9536495,374,0.273
PORT PHILLIP,2008,0.9453325,0.9566675,0.951,452,0.173
PYRENEES,2008,0.971875,0.971371,0.971623,93,0.226
SOUTH GIPPSLAND,2008,0.9496855,0.966577,0.95813125,907,0.278
SOUTHERN GRAMPIANS,2008,0.9697475,0.9727985,0.971273,362,0.229
STONNINGTON,2008,0.9888675,0.9942525,0.99156,350,0.126
STRATHBOGIE,2008,0.91291,0.981132,0.947021,151,0.351
SURF COAST,2008,0.941176,0.96875,0.954963,37,0.27
SWAN HILL,2008,0.905082,0.9227765,0.91392925,689,0.335
TOWONG,2008,0.976099,0.995238,0.9856685,313,0.256
WANGARATTA,2008,0.9438465,0.9436245,0.9437355,619,0.297
WARRNAMBOOL,2008,0.939609,0.9518785,0.94574375,1080,0.328
WELLINGTON,2008,0.9563825,0.96293,0.95965625,903,0.322
WEST WIMMERA,2008,0.9427895,0.968182,0.95548575,173,0.237
WHITEHORSE,2008,0.973105,0.977219,0.975162,2327,0.231
WHITTLESEA,2008,0.9384495,0.9497585,0.944104,2502,0.247
WYNDHAM,2008,0.930625,0.9389145,0.93476975,2618,0.262
YARRA,2008,0.9776045,0.9872865,0.9824455,1357,0.172
YARRA RANGES,2008,0.9607735,0.970132,0.96545275,3500,0.276
YARRIAMBIACK,2008,0.925696,0.925846,0.925771,317,0.271
ALPINE,2009,0.9679725,0.963578,0.96577525,265,0.26
ARARAT,2009,0.9380735,0.9695965,0.953835,259,0.259
BALLARAT,2009,0.9294935,0.9534595,0.9414765,2025,0.29
BANYULE,2009,0.946409,0.963525,0.954967,2816,0.243
BASS COAST,2009,0.9536675,0.9815725,0.96762,544,0.272
BAW BAW,2009,0.9445905,0.969531,0.95706075,1185,0.295
BAYSIDE,2009,0.9718395,0.976114,0.97397675,973,0.205
BENALLA,2009,0.924408,0.9720635,0.94823575,267,0.337
BOROONDARA,2009,0.984608,0.989017,0.9868125,2527,0.176
BRIMBANK,2009,0.9027635,0.9351465,0.918955,3561,0.223
BULOKE,2009,0.9523055,0.9945055,0.9734055,275,0.204
CAMPASPE,2009,0.9367885,0.9508085,0.9437985,1145,0.274
CARDINIA,2009,0.9340665,0.97087,0.95246825,1354,0.273
CASEY,2009,0.925074,0.955939,0.9405065,5296,0.236
CENTRAL GOLDFIELDS,2009,0.9466985,0.9718,0.95924925,319,0.304
COLAC-OTWAY,2009,0.9037635,0.937243,0.92050325,443,0.334
CORANGAMITE,2009,0.928949,0.9584805,0.94371475,477,0.122
DAREBIN,2009,0.9008685,0.928511,0.91468975,1617,0.182
EAST GIPPSLAND,2009,0.9136735,0.945817,0.92974525,820,0.327
FRANKSTON,2009,0.9187125,0.944775,0.93174375,3326,0.262
GANNAWARRA,2009,0.952152,0.995327,0.9737395,292,0.247
GLEN EIRA,2009,0.970018,0.986357,0.9781875,1233,0.185
GLENELG,2009,0.9086015,0.958018,0.93330975,550,0.316
GREATER BENDIGO,2009,0.9242325,0.94785,0.93604125,2281,0.268
GREATER DANDENONG,2009,0.880452,0.9260835,0.90326775,2902,0.249
GREATER GEELONG,2009,0.943748,0.959792,0.95177,4672,0.28
GREATER SHEPPARTON,2009,0.896193,0.92828,0.9122365,1507,0.261
HEPBURN,2009,0.9287235,0.9718255,0.9502745,224,0.286
HINDMARSH,2009,0.933283,0.982043,0.957663,240,0.238
HOBSONS BAY,2009,0.941912,0.9773805,0.95964625,1456,0.198
HORSHAM,2009,0.918006,0.9491445,0.93357525,440,0.327
HUME,2009,0.905674,0.9420625,0.92386825,3030,0.255
INDIGO,2009,0.982455,0.9871795,0.98481725,334,0.207
KINGSTON,2009,0.9570185,0.978964,0.96799125,2140,0.214
KNOX,2009,0.9637575,0.981355,0.97255625,2250,0.268
LATROBE,2009,0.9058365,0.939699,0.92276775,1520,0.348
LODDON,2009,0.979452,0.9791665,0.97930925,191,0.183
MACEDON RANGES,2009,0.9603355,0.983548,0.97194175,856,0.28
MANNINGHAM,2009,0.925353,0.9438315,0.93459225,1866,0.218
MANSFIELD,2009,0.91575,0.929198,0.922474,216,0.227
MARIBYRNONG,2009,0.8923955,0.922355,0.90737525,1363,0.247
MAROONDAH,2009,0.968545,0.977629,0.973087,2163,0.228
MELBOURNE,2009,0.9820295,0.989277,0.98565325,659,0.121
MILDURA,2009,0.913302,0.938038,0.92567,1626,0.258
MITCHELL,2009,0.9308385,0.95979,0.94531425,849,0.285
MOIRA,2009,0.926935,0.968366,0.9476505,696,0.23
MONASH,2009,0.963523,0.975033,0.969278,4196,0.22
MOONEE VALLEY,2009,0.969053,0.976449,0.972751,2361,0.225
MOORABOOL,2009,0.940857,0.972198,0.9565275,370,0.335
MORELAND,2009,0.8952105,0.935319,0.91526475,1591,0.239
MORNINGTON PENINSULA,2009,0.9543865,0.972522,0.96345425,2563,0.284
MOUNT ALEXANDER,2009,0.91271,0.9630635,0.93788675,367,0.237
MOYNE,2009,0.977778,1,0.988889,119,0.21
MURRINDINDI,2009,0.8892895,0.9534125,0.921351,312,0.288
NILLUMBIK,2009,0.9749745,0.978414,0.97669425,1019,0.174
NORTHERN GRAMPIANS,2009,0.8594395,0.895798,0.87761875,336,0.256
PORT PHILLIP,2009,0.9453335,0.9582235,0.9517785,423,0.128
PYRENEES,2009,0.891818,0.9772725,0.93454525,78,0.115
SOUTH GIPPSLAND,2009,0.942082,0.958614,0.950348,816,0.25
SOUTHERN GRAMPIANS,2009,0.935448,0.966099,0.9507735,338,0.095
STONNINGTON,2009,0.992287,0.993296,0.9927915,344,0.125
STRATHBOGIE,2009,0.952496,0.990566,0.971531,172,0.267
SURF COAST,2009,0.981818,0.990909,0.9863635,79,0.215
SWAN HILL,2009,0.8996915,0.916202,0.90794675,676,0.299
TOWONG,2009,0.94268,0.984008,0.963344,316,0.177
WANGARATTA,2009,0.9316935,0.9589005,0.945297,540,0.28
WARRNAMBOOL,2009,0.925776,0.9488165,0.93729625,974,0.318
WELLINGTON,2009,0.940571,0.9657735,0.95317225,844,0.287
WEST WIMMERA,2009,0.9363635,0.9720475,0.9542055,161,0.242
WHITEHORSE,2009,0.9709065,0.9834435,0.977175,2371,0.192
WHITTLESEA,2009,0.9226105,0.9525015,0.937556,2734,0.237
WYNDHAM,2009,0.916676,0.9436725,0.93017425,2765,0.252
YARRA,2009,0.9801625,0.9838715,0.982017,1331,0.164
YARRA RANGES,2009,0.956816,0.973812,0.965314,3392,0.249
YARRIAMBIACK,2009,0.929334,0.9489705,0.93915225,303,0.251
ALPINE,2010,0.946137,0.965755,0.955946,263,0.262
ARARAT,2010,0.912537,0.9530655,0.93280125,219,0.283
BALLARAT,2010,0.921299,0.931161,0.92623,1979,0.265
BANYULE,2010,0.9589965,0.9685365,0.9637665,2431,0.211
BASS COAST,2010,0.9410455,0.960287,0.95066625,490,0.239
BAW BAW,2010,0.9537825,0.965481,0.95963175,1134,0.26
BAYSIDE,2010,0.9693135,0.97608,0.97269675,961,0.149
BENALLA,2010,0.946276,0.963378,0.954827,201,0.303
BOROONDARA,2010,0.983963,0.9901765,0.98706975,2466,0.175
BRIMBANK,2010,0.897782,0.9166805,0.90723125,3309,0.191
BULOKE,2010,0.964134,0.982464,0.973299,262,0.183
